ID,Survey Type,Gender,Age,English,Education,Jacob was 27th in line at the airport. He was also 27th from the back of the line. How many people were in line?,Gertrude is taller than Janelle. Nancy is taller than Gertrude. Who is the tallest?,Cup is to coffee as bowl is to ,"From the following two statements, which conclusion is absolutely true?   None of the gardeners are tennis players.   All writers are gardeners.",Which of the following values is NOT equal to 11*(7-1)?,"Is the phrase, “Madam, I’m Adam,” spelled the same written forward as backward?",Which of these numbers is not like the others?,How many of the five pairs listed below are duplicates? Enter a numerical value only.      Suspicious AND Spacious;      Conspicuous AND Conspicuous;          Malicious AND Malicious;    Gray AND Grey;      Hummingbird AND Humningbird," Ernie had $10 in cash, with which he purchased gum for $1.29, a candy bar for $1.49 and a beverage for $2.39. If he does not have to pay sales tax, how much cash remains? ",Three painters can paint three walls in three minutes. How many painters are needed to paint 27 walls in nine minutes?,Duration,Opened (UTC),Finished (UTC),Overtime (s),Unfocused,Treatment ,Score
132,c,Male,16,Yes,High School and below,53,Janelle,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,8,12/1/19 5:34,12/1/19 5:39,0,0,1,8

133,a,Male,27,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$4.83 ,9,4,12/1/19 5:47,12/1/19 5:51,0,0,1,9

134,c,Female,28,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,12/1/19 6:35,12/1/19 6:45,110,0,1,10

135,a,Female,28,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,12/1/19 6:46,12/1/19 6:48,0,0,1,10

136,c,Female,32,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,8,12/1/19 6:55,12/1/19 6:59,0,0,1,9

137,a,Male,22,Yes,Undergraduate degree,53,Nancy,Soup,Some writers are not gardeners.,5+1*(22-10),Yes,4,2,$5.83 ,9,4,12/1/19 7:04,12/1/19 7:08,0,0,1,8

138,a,Male,20,Yes,High School and below,53,Nancy,Soup,"Writers are not tennis players., Some writers are not gardeners.",5+1*(22-10),Yes,4,2,$5.83 ,9,4,12/1/19 7:07,12/1/19 7:11,0,0,1,8

139,f,Female,18,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$5.17 ,9,8,12/1/19 7:04,12/1/19 7:11,0,0,0,8

140,f,Male,20,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,12/1/19 7:11,12/1/19 7:16,0,0,0,10

141,c,Male,26,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$5.83 ,9,8,12/1/19 7:37,12/1/19 7:40,0,0,1,8

142,e,Male,25,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,6,12/1/19 7:42,12/1/19 7:48,0,0,0,9

143,e,Male,22,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,6*7 + 8*3,Yes,4,2,$4.83 ,9,6,12/1/19 7:59,12/1/19 8:03,0,0,0,9

144,b,Female,19,No,High School and below,27,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,3,$4.83 ,3,6,12/1/19 8:10,12/1/19 8:17,34,0,1,6

145,a,Male,19,No,Graduate degree and above,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,4,12/1/19 8:22,12/1/19 8:29,203,0,1,8

146,c,Female,27,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,12/1/19 8:26,12/1/19 8:31,0,0,1,10

147,e,Female,26,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,6,12/1/19 9:27,12/1/19 9:33,0,0,0,9

148,e,Prefer not to say,20,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,4,$4.83 ,9,6,12/1/19 9:29,12/1/19 9:37,127,0,0,9

149,a,Male,22,No,Undergraduate degree,54,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,11,2,$5.83 ,6,4,12/1/19 12:40,12/1/19 12:44,0,0,1,6

150,a,Male,35,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,12/1/19 13:05,12/1/19 13:10,17,0,1,10

151,a,Female,16,No,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,4,12/1/19 13:48,12/1/19 13:51,0,0,1,9

152,c,Male,17,Yes,High School and below,54,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,12/1/19 14:33,12/1/19 14:41,0,0,1,9

153,f,Male,33,Yes,Undergraduate degree,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,12/1/19 15:16,12/1/19 15:22,0,0,0,9

154,e,Male,24,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$5.17 ,9,6,12/1/19 15:41,12/1/19 15:47,10,0,0,9

155,f,Female,19,Yes,Undergraduate degree,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,11,3,$4.83 ,9,8,12/1/19 16:29,12/1/19 16:32,0,0,0,7

156,a,Male,16,No,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,12/1/19 17:02,12/1/19 17:06,0,0,1,10

157,a,Male,24,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,12/1/19 17:16,12/1/19 17:20,20,0,1,10

158,e,Female,25,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,6,12/1/19 7:16,12/1/19 17:27,36295,2,0,9

159,f,Male,39,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,12/1/19 17:26,12/1/19 17:30,0,0,0,10

160,e,Male,30,Yes,Graduate degree and above,53,Nancy,Soup,Writers are tennis players.,5+1*(22-10),Yes,11,4,$4.83 ,12,6,12/1/19 17:28,12/1/19 17:32,0,0,0,6

161,a,Male,18,Yes,High School and below,54,Nancy,Soup,Writers are not tennis players.,6*7 + 8*3,Yes,4,3,Don’t know,9,4,12/1/19 18:28,12/1/19 18:31,0,0,1,6

162,c,Female,18,Yes,Undergraduate degree,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$5.17 ,9,8,12/1/19 19:51,12/1/19 19:55,0,0,1,7

163,a,Female,14,No,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,12/1/19 20:03,12/1/19 20:09,116,0,1,10

164,b,Male,14,Yes,High School and below,54,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$5.17 ,3,6,12/2/19 1:56,12/2/19 2:03,71,0,1,7

165,e,Female,24,No,Graduate degree and above,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),No,11,3,$5.83 ,3,6,12/2/19 4:36,12/2/19 4:48,361,2,0,4

166,d,Male,25,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,4,12/2/19 9:20,12/2/19 9:27,202,0,0,9

167,f,Male,16,No,High School and below,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$4.83 ,9,8,12/2/19 10:10,12/2/19 10:15,0,0,0,8

168,c,Female,25,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,6*7 + 8*3,No,4,2,$4.83 ,3,8,12/2/19 12:39,12/2/19 12:43,0,0,1,7

169,c,Male,30,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,6*7 + 8*3,Yes,4,3,$5.17 ,3,8,12/2/19 13:26,12/2/19 13:32,0,0,1,6

170,d,Male,18,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,12/2/19 19:33,12/2/19 19:39,65,0,0,10

171,f,Female,26,No,Graduate degree and above,54,Nancy,Soup,"Writers are not tennis players., Writers are tennis players.",5+1*(22-10),No,11,Hey AND Hay,$5.83 ,9,8,12/2/19 20:07,12/2/19 20:16,9,0,0,4

172,a,Male,29,Yes,Undergraduate degree,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$5.83 ,9,4,12/3/19 3:39,12/3/19 3:42,0,0,1,8

173,a,Male,22,Yes,Undergraduate degree,54,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$5.17 ,9,4,12/4/19 9:11,12/4/19 9:14,0,0,1,8
